#Organism/Name	Size (Mb)	GC%	Genes	Proteins
Loktanella cinnabarina LL-001	3.89624	66.7	3789	3117
Brevundimonas abyssalis TAR-001	2.97923	68.2	2967	2418
Rubellimicrobium thermophilum DSM 16684	3.16314	69.1	3048	2456
Sphingobium ummariense RL-3	4.75405	65	4593	4336
Leifsonia aquatica ATCC 14665	4.2261	70.2	4373	3668
Chlamydia ibidis 10-1398/6	1.14607	38.3	991	935
Psychrobacter aquaticus CMS 56	3.21641	43.1	2707	2620
Holospora obtusa F1	1.33484	35.2	1157	1031
Aeropyrum camini SY1 = JCM 12091	1.59599	56.7	1695	1645
Bacillus infantis NRRL B-14911	4.88471	46	4828	4670
Coprobacter fastidiosus NSB1	3.41391	38.3	2714	2583
Cetobacterium somerae ATCC BAA-474	3.06825	28.6	2911	2764
Shewanella decolorationis S12	4.84397	47.1	4256	4111
Mucispirillum schaedleri ASF457	2.33225	31.2	2160	2077
Acinetobacter nectaris CIP 110549	2.66894	36.7	2575	2454
Spiribacter sp. UAH-SP71	1.92663	63.9	1894	1809
Bacillus toyonensis BCT-7112	5.02542	35.552	5113	4872
Smithella sp. ME-1	2.90764	41.9	711	705
Streptomyces rapamycinicus NRRL 5491	12.7007	70.5	10144	10002
Asticcacaulis sp. AC402	4.32397	60.4	3709	3602
Lutibaculum baratangense AMV1	4.30078	68.6	4051	3873
Sporolactobacillus laevolacticus DSM 442	3.59018	42.7	3488	3348
Streptomyces niveus NCIMB 11891	8.72688	70.2746	7722	7155
Brevibacillus panacihumi W25	5.54594	50.1	5413	5129
Flavobacterium limnosediminis JC2902	3.46654	38.5	3116	3033
Hyphomicrobium nitrativorans NL23	3.65384	63.9	3387	3244
Thermophagus xiamenensis	3.86353	39.1	2980	2880
Lactobacillus equi DPC 6820	2.17559	39.2	2093	1982
Thermosynechococcus sp. NK55a	2.52006	53.8	2441	2302
Helicobacter macacae MIT 99-5501	2.36953	40.6	2083	1976
Helicobacter canis NCTC 12740	1.93282	45	1836	1736
Geovibrio sp. L21-Ace-BES	2.97166	48.5	2718	2667
Asaia sp. SF2.1	3.52891	59.6	3286	2801
Williamsia sp. D3	5.62312	64.6	5308	4817
Porphyromonas crevioricanis JCM 15906	2.04481	45.3	1760	1648
Helicobacter fennelliae MRY12-0050	2.15565	37.9	2158	1971
Ehrlichia muris AS145	1.19672	29.7	922	863
Aeromonas dhakensis AAK1	4.76769	61.7937	4275	4126
Chlamydia gallinacea 08-1274/3	1.05211	37.9	942	882
Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	0.820037	32.5	777	723
Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)	0.821813	31	780	699
Candidatus Kinetoplastibacterium desouzaii TCC079E	0.833125	30.2	789	732
Candidatus Kinetoplastibacterium oncopeltii TCC290E	0.810172	31.2	749	690
Candidatus Kinetoplastibacterium galatii TCC219	0.82214	32.4	776	705
Dasania marina DSM 21967	4.10499	47.4	3684	3586
Gallaecimonas xiamenensis 3-C-1	4.06228	60.6	3825	3718
Candidatus Microthrix parvicella Bio17-1	4.20285	66.4	3906	3762
Candidatus Methanomethylophilus alvus Mx1201	1.6668	55.6	1649	1589
Elioraea tepidiphila DSM 17972	4.30424	71.3	4105	3956
Spongiibacter tropicus DSM 19543	3.94734	57.3	3681	3606
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	1.93165	41.3	1866	1804
Clostridiales bacterium oral taxon 876 str. F0540	4.76753	32.9	4545	4440
Peptostreptococcaceae bacterium oral taxon 113 str. W5053	2.08825	37.1	2088	1947
Candidatus Stoquefichus massiliensis AP9	3.50987	30.9	3456	3230
Candidatus Halobonum tyrrellensis G22	3.67509	70.1	3439	3191
Burkholderia lata	8.67628	66.262	7700	7552
Magnetococcus marinus MC-1	4.71958	54.2	3844	3729
Mycobacterium gilvum PYR-GCK	5.98283	67.7265	5638	5509
Geobacter daltonii FRC-32	4.3045	53.5	3822	3717
Gloeobacter kilaueensis JS1	4.72479	60.5	4378	4256
Parvimonas sp. oral taxon 110 str. F0139	1.55646	28.2	1554	1328
Parvimonas sp. oral taxon 393 str. F0440	1.48317	28.2	1478	1193
Lentibacillus jeotgali	3.77582	42.5	3686	3553
Thermogladius cellulolyticus 1633	1.35632	55.6	1450	1392
Agrococcus pavilionensis RW1	2.8784	72.6	2812	2647
Bacteroidales bacterium CF	2.65725	41.5	2300	2226
Algoriphagus machipongonensis	4.78772	38.7	4032	3958
Patulibacter medicamentivorans	5.0925	74.1	4674	4290
Rhodanobacter denitrificans	4.22549	67.5	3845	3755
Rhodanobacter denitrificans	3.97554	67.3	3526	3399
Kurthia massiliensis	3.23082	39.3	3182	3089
Gillisia marina	2.9814	34.9	2777	2384
Thiomonas arsenitoxydans	3.78553	63.7592	3592	3479
Legionella tunisiensis	3.37475	39.9	3745	2624
Galbibacter marinus	3.57245	37	3118	3018
Microvirga lotononidis	7.08254	63	6827	6464
Cellulomonas massiliensis JC225	3.41051	73.5	3161	2880
Brevibacterium senegalense	3.42733	69.8	3076	2893
Mesotoga infera	3.10827	45.2	2756	2651
Pseudomonas protegens Pf-5	7.07489	63.3	6308	6179
Pseudomonas moraviensis R28-S	6.30832	59.7624	5669	5523
Bacillus subtilis subsp. subtilis str. 168	4.17073	43.4	4374	4296
Anaplasma marginale str. St. Maries	1.15524	49.8	979	895
Enterococcus gallinarum EG2	3.16232	40.7	2986	2881
Pedobacter heparinus DSM 2366	5.17153	42.1	4286	4193
Dickeya chrysanthemi NCPPB 402	4.70035	54.1876	4122	3931
Azospirillum brasilense FP2	6.88511	68.1	6614	5767
Mycobacterium mageritense JR2009	6.49968	66.4	6545	5798
Xanthomonas arboricola pv. corylina str. NCCB 100457	5.22658	65.5	4365	4089
Amycolatopsis orientalis DSM 40040 = KCTC 9412	9.06245	69	8109	7948
Cronobacter universalis NCTC 9529	4.334	57.8	4002	3879
Vibrio azureus NBRC 104587	4.76866	42.3	4146	3945
Dickeya solani IPO 2222	4.86726	56.2	4185	3958
Cellulosimicrobium cellulans LMG 16121	4.27604	74.3	4062	3537
Vibrio owensii LMG 25430	5.82496	45.5	5092	4987
Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930	3.47505	46.6	2615	2517
Brucella suis 1330	3.28062	57.3	3287	2706
Desulfotomaculum nigrificans DSM 574	3.05279	46.3	3014	2848
Holophaga foetida DSM 6591	4.12724	62.9	3581	3471
Mycobacterium tusciae JS617	7.30641	65.4	7013	6659
Saccharomonospora paurometabolica YIM 90007	4.6694	71.3	4684	3699
Candidatus Nitrosopumilus koreensis AR1	1.63996	34.2	1931	1890
Pantoea agglomerans	5.36593	54.7	5052	4783
Rhodococcus rhodochrous	6.77732	61.7	6239	6051
Streptomyces natalensis	9.18094	68.7	8737	6227
Streptomyces lavendulae	6.21125	71.4	5902	4872
Pseudonocardia autotrophica	8.02384	73.5	7464	7123
Aeromonas caviae	4.84757	61.5	4429	3997
Streptomyces flavovirens	7.67065	71.1	6705	6507
Streptomyces violaceoruber	8.48997	72.3	7614	7380
Streptomyces violaceoruber	10.5304	70.5	9236	8666
Burkholderia cepacia	8.94713	65.9	7938	7730
Dyella japonica A8	4.83118	65	4123	4033
Brucella neotomae 5K33	3.28968	57.2	3094	2654
Pantoea agglomerans	5.00257	55.1	4613	4447
Sphingobium yanoikuyae	5.68379	63.9	5309	5132
Serratia marcescens	5.07365	60	4650	4520
Rahnella aquatilis CIP 78.65 = ATCC 33071	5.3846	52.1	4898	4673
Staphylococcus warneri	2.51028	32.6	2412	2305
Yersinia ruckeri	3.77549	47.6	3419	3273
Serratia marcescens	5.29878	59.1	4926	4776
Amycolatopsis methanolica 239	7.23739	71.5	7096	6665
Comamonas testosteroni	5.40647	61.5	4883	4749
Serratia marcescens	5.12257	59.9	4722	4601
Brucella melitensis bv. 1 str. 16M	3.29478	57.2357	3154	3011
Brucella suis 1330	3.296	57.3	3129	3007
Brucella neotomae 5K33	3.32946	57.2	3163	2889
Bifidobacterium gallicum DSM 20093 = LMG 11596	2.00459	57.6	1569	1424
Bifidobacterium pseudolongum subsp. globosum	1.93525	63.4	1633	1502
Bacillus mycoides	5.6753	35.6237	5662	5301
Geobacillus stearothermophilus	3.21443	52.6	3195	2969
Serratia marcescens	5.13165	59.8	4798	4651
Pantoea agglomerans	4.8102	55.1	4416	4289
Agrobacterium rhizogenes	7.31892	59.9	6926	6758
Agrobacterium rhizogenes	7.77453	59.8	7352	7172
Geobacillus stearothermophilus	3.26914	52.6	3266	3017
Coxiella burnetii RSA 493	1.95694	42.5	2058	1787
Serratia marcescens	5.10099	59.8	4781	4639
Pandoraea pnomenusa 3kgm	5.4293	64.7	4862	4659
Providencia stuartii	4.33482	41.5147	3972	3784
Yersinia frederiksenii ATCC 33641	4.94187	47	4413	4253
Yersinia enterocolitica	4.53331	47	4092	3859
Yersinia enterocolitica	4.69952	46.9	4293	4051
Yersinia enterocolitica	4.6458	47.3	4269	4074
Yersinia enterocolitica	4.53855	47.3	4139	3935
Yersinia ruckeri ATCC 29473	3.77281	47.4	3399	3248
Sphingobium yanoikuyae	5.15786	64.6	4826	4652
Proteus vulgaris	3.97358	37.9	3638	3501
Burkholderia xenovorans LB400	9.70295	62.6331	8596	8330
Burkholderia cepacia	8.14711	67.0601	7319	7174
Bacillus mycoides	5.87592	35.3	5884	5376
Bacillus mycoides	5.37413	35.4	5420	5112
Pantoea agglomerans	4.73383	55.2	4386	4240
Burkholderia cepacia	7.18213	67.2	6369	6221
Burkholderia cepacia	8.11226	67.1	7282	7134
Morganella morganii	3.67312	51.2	3379	3253
Arenimonas oryziterrae DSM 21050 = YC6267	3.09301	65.7	2901	2833
Mycoplasma hominis	0.72983	27	623	573
Mycoplasma hominis	0.71644	26.8	625	559
Rhodococcus fascians	5.90517	64.3	5533	5344
Comamonas testosteroni	5.35507	61.1	4793	4650
Comamonas testosteroni	5.95252	61.1	5422	5237
Comamonas testosteroni	5.35714	61.1	4814	4661
Comamonas testosteroni	5.36911	61.1	4815	4666
Comamonas testosteroni	5.32575	61.2	4767	4629
Comamonas testosteroni	5.74384	61.2	5330	5153
Comamonas testosteroni	5.58322	61.1	5110	4914
Comamonas testosteroni	5.68428	61.1	5233	5048
Comamonas testosteroni	5.60774	61.1	5141	4942
Comamonas testosteroni	5.06027	61.6	4559	4430
Megasphaera elsdenii	2.41227	53.2	2183	2056
Staphylococcus haemolyticus	2.44025	32.6	2365	2267
Staphylococcus haemolyticus	2.4583	32.6	2384	2283
Staphylococcus haemolyticus	2.43031	32.6	2375	2262
Streptomyces avermitilis MA-4680 = NBRC 14893	10.4268	70.6	8894	8450
Corynebacterium doosanense CAU 212 = DSM 45436	2.699	66.7345	2618	2506
Mycobacterium smegmatis str. MC2 155	6.98827	67.4	6787	6656
Novosphingobium pentaromativorans US6-1	5.45758	63.0142	5087	4931
Flavobacterium cauense R2A-7	3.1109	38.2	2899	2829
Flavobacterium enshiense DK69	3.37526	37.7	3023	2945
Morganella morganii	4.23824	50.7	4071	3924
Bifidobacterium angulatum DSM 20098 = JCM 7096	1.99378	59.4	1608	1500
Bifidobacterium gallicum DSM 20093 = LMG 11596	1.98985	57.6	1538	1409
Bifidobacterium magnum DSM 20222	1.81923	58.7	1546	1443
Bifidobacterium minimum DSM 20102	1.86381	62.7	1521	1364
Vibrio tubiashii ATCC 19109	5.54034	45.0269	5103	4942
Gallibacterium anatis DSM 16844 = F 149	2.40863	40	2293	2198
Yersinia ruckeri	3.91379	47.5	3541	3384
Providencia stuartii	4.56109	42	4273	3821
Serratia marcescens	5.38178	59.7	5040	4007
Serratia marcescens	5.24826	59.9	4802	4585
Serratia marcescens	5.13641	59.7	4734	4422
Citrobacter freundii	5.45114	51.6	5223	4988
Citrobacter freundii	5.25845	51.8	4854	4665
Aeromonas caviae	4.87779	61	4519	3656
Aeromonas caviae	4.55501	61.7	4143	3687
Morganella morganii	3.99993	51.1	3773	3571
Clostridium butyricum	4.92264	28.4	4348	4089
Bacillus subtilis subsp. subtilis str. 168	4.21562	43.5	4225	4100
Piscirickettsia salmonis LF-89 = ATCC VR-1361	3.02912	40.1	2780	2598
Agrobacterium rhizogenes	6.66713	60.1	6245	6137
Agrobacterium rhizogenes	6.54433	60.1	6125	6012
Agrobacterium rhizogenes	6.66291	60.1	6235	6130
Escherichia coli str. K-12 substr. MG1655	4.63683	50.8	4580	4387
Serratia marcescens	4.88226	60.1	4496	4384
Providencia rettgeri	4.99802	41	4666	4499
Lactobacillus curvatus	1.94491	41.8	1968	1841
Brevibacterium linens	3.84645	64.2	3445	3268
Comamonas testosteroni	5.23216	61.6	4734	4612
Aeromonas caviae	4.37672	61.7	3945	3826
Pantoea agglomerans	4.98116	55.1	4606	4389
Brevibacillus borstelensis	5.21007	51.8	5104	4839
Staphylococcus hyicus	2.47213	35.6	2351	2256
Neisseria elongata subsp. glycolytica ATCC 29315	2.25665	54.3	2226	2087
Hafnia alvei	4.47394	48.6	4044	3916
Aeromonas caviae	4.4714	61.7	4052	3862
Aeromonas bestiarum	4.69082	60.6	4150	4023
Aeromonas sobria	4.68367	57.6	4208	4057
Coxiella burnetii RSA 493	1.95694	42.5	2058	1787
Yersinia ruckeri	3.83052	47.4	3447	3295
Bhargavaea cecembensis	3.10808	57.7	3096	2844
Pseudomonas mosselii SJ10	6.24786	63.4	5694	5533
Hoeflea phototrophica DFL-43	4.46847	59.8	4230	4120
Spiroplasma melliferum KC3	1.29794	27.0701	1258	1196
Thalassospira xiamenensis M-5 = DSM 17429	4.76895	54.7023	4433	4319
Staphylococcus saprophyticus	2.70842	33	2641	2513
Magnetospirillum magnetotacticum MS-1	4.52393	63.6	4170	4058
Mycobacterium tuberculosis H37Rv	4.39612	65.6	4135	4023
Thioalkalimicrobium aerophilum AL3	2.15836	45.9	2088	2016
Bacillus anthracis str. Sterne	5.40912	35.3026	5761	5430
Bacillus mycoides	5.63705	35.3849	5686	5421
Francisella tularensis subsp. tularensis SCHU S4	1.89279	32.3	1963	1791
Coxiella burnetii RSA 493	2.07712	42.5	2210	1916
Desulfitobacterium metallireducens DSM 15288	3.17607	41.9	3048	2907
Aeromonas media WS	4.78843	60.6889	4353	4051
Yersinia pestis Pestoides F	4.72832	47.6866	4393	4185
Yersinia pseudotuberculosis IP 32953	4.83943	47.5408	4371	4190
Yersinia pseudotuberculosis PB1/+	4.76539	47.459	4302	4113
Yersinia enterocolitica	4.61541	47.2466	4223	4028
Yersinia enterocolitica	4.60395	46.9576	4162	3949
Yersinia enterocolitica	4.68539	47.2542	4303	4106
Yersinia ruckeri	3.60522	47.5	3215	3061
Vibrio alginolyticus	5.18402	44.6	4679	4587
Vibrio alginolyticus	5.19063	44.6	4691	4594
Acinetobacter lwoffii	3.29888	43.1	3154	3039
Methanolinea tarda NOBI-1	2.05286	56.5	2065	1983
Pseudomonas mandelii JR-1	7.18856	58.9659	6551	6377
Burkholderia cepacia	8.02334	66.9	7230	7058
Clostridium butyricum	4.60476	28.6	4125	3957
Weissella cibaria	2.46516	44.7	2350	2194
Weissella cibaria	2.43623	44.8	2278	2153
Weissella cibaria	2.35713	44.9	2217	2076
Bacillus mycoides	5.7854	35.2	5771	5454
Vibrio fluvialis	4.84996	49.9	4542	4341
Marichromatium purpuratum 984	3.77911	67.9	3272	3159
Pseudacidovorax intermedius NH-1	5.52111	68.9	5472	4531
Mycoplasma hominis	0.767767	27.2	681	616
Mycoplasma hominis	0.679518	26.9	596	546
Niabella soli DSM 19437	4.69734	45.2	3904	3814
Opitutaceae bacterium TAV5	7.41767	63.4762	5895	5772
Bacteroides uniformis	4.51501	47.1	3662	3289
Bacillus mycoides	6.49666	38.2	6321	6119
Mycoplasma hominis	0.700851	26.9	605	559
Pyrococcus abyssi GE5	1.76856	44.6975	1931	1848
Haloferax mediterranei ATCC 33500	3.90471	60.2551	3800	3718
Lactobacillus paracasei	3.02342	46.2	2975	2826
Morganella morganii	4.26151	50.2	4425	2375
Campylobacter coli	1.73255	31.4122	1787	1696
Lactobacillus mucosae LM1	2.43461	46.1307	2275	2109
Burkholderia pseudomallei K96243	7.24761	68.0502	6249	6138
Burkholderia oklahomensis C6786	7.13502	67.0684	6207	6034
Burkholderia ambifaria AMMD	7.52858	66.7904	6587	6444
Brevibacillus laterosporus LMG 15441	5.15386	41.0942	4530	4301
Aeromonas caviae	4.47748	61.8	4055	3920
Xanthomonas albilineans GPE PC73	3.8523	62.9055	3198	3038
Vibrio alginolyticus	5.10355	44.7	4664	4530
Arthrospira sp. PCC 8005	6.16636	44.6	5515	5033
Tepidanaerobacter acetatoxydans Re1	2.76125	37.5	2643	2539
Yersinia ruckeri	3.69972	47.6	3315	3164
Acidiphilium multivorum AIU301	3.97809	66.9	3712	3372
Morganella morganii	3.95539	50.9	3783	3556
Bifidobacterium asteroides	2.09478	60.6	1668	1584
Bifidobacterium asteroides	2.13239	60.7	1666	1592
Vibrio nigripulchritudo	6.21533	45.8	5595	5487
Acholeplasma palmae J233	1.55423	29	1469	1408
Streptomyces avermitilis MA-4680 = NBRC 14893	10.4683	70.6	8913	8489
Pseudomonas pseudoalcaligenes CECT 5344	4.68634	62.3	4410	4124
Rickettsia monacensis	1.35345	32.4	1447	1164
Comamonas testosteroni CNB-2	5.37364	61.4	4880	4683
uncultured Termite group 1 bacterium phylotype Rs-D17	1.14857	35.1773	824	776
Avibacterium paragallinarum	2.41084	41.3	2494	2268
Avibacterium paragallinarum	2.51445	40.9	2423	2303
Citrobacter freundii	5.76324	51.4	5584	5387
Staphylococcus haemolyticus	2.56137	32.7	2532	2417
Zobellia galactanivorans	5.52171	42.8	4497	4407
Arthrospira sp. PCC 8005	6.22815	44.7	5531	5171
Bifidobacterium asteroides	2.24522	59.5	1774	1701
Burkholderia cepacia	6.42368	66.991	5728	5567
Halorubrum saccharovorum	3.28237	66.5	3195	2261
Thermotoga maritima MSB8	1.86961	46.2	1927	1873
Hafnia alvei	4.80457	48.7	4445	4297
Comamonas testosteroni	5.38545	61.3	4904	4775
Hafnia alvei	4.74205	48.7	4326	4195
Hafnia alvei	4.66714	49	4264	4148
Staphylococcus haemolyticus	2.40307	32.8	2338	2198
Staphylococcus warneri	2.58962	32.5	2499	2369
Citrobacter freundii	4.87048	51.7	4577	4466
Paenibacillus riograndensis SBR5	7.91958	51	6691	6467
Vibrio nigripulchritudo	6.32216	45.76	5727	5527
Rhodococcus aetherivorans	5.92275	70.6	5326	5009
Prochlorothrix hollandica PCC 9006	5.52547	54.5	4294	3737
Staphylococcus pasteuri	2.56246	31.5	2466	2353
Yersinia enterocolitica	4.83732	47.0053	4378	4227
Paenibacillus larvae	4.18511	44	4263	3909
Corynebacterium striatum	2.61198	59.4	2427	2084
Aeromonas caviae	4.51752	61.7	4077	3342
Sphingobium chungbukense	5.51649	63.3	5280	5064
Citrobacter freundii	5.91169	51.5	5719	5522
Serratia marcescens	5.4844	59.1	5100	4974
Morganella morganii	4.1695	50.4	3917	3791
Nodularia spumigena CCY9414	5.46227	41.2	4718	4510
Vibrio alginolyticus	5.0683	44.8	4555	4434
Rhizobium phaseoli Ch24-10	6.73257	61.3273	6403	6172
Vibrio alginolyticus	5.25584	44.5	4724	4610
Sporolactobacillus inulinus CASD	3.00953	45.1	2819	2708
Mycoplasma hominis	0.695214	27.4	609	559
Serratia marcescens	5.8284	58.6287	5460	5274
Bifidobacterium angulatum DSM 20098 = JCM 7096	2.02197	59.4	1609	1504
Providencia rettgeri	3.27364	42.4	3032	2132
Citrobacter freundii	5.4894	51.5557	5284	5105
Citrobacter freundii	5.39065	51.6671	5173	4987
Morganella morganii	2.56444	51.4	2859	2105
Wenxinia marina DSM 24838	4.18093	70.5048	3986	3769
Piscirickettsia salmonis LF-89 = ATCC VR-1361	3.09115	39.8	3142	2779
Serratia marcescens	5.62005	58.6	5281	5177
Serratia marcescens	5.13313	59.6	4756	4637
Serratia marcescens	5.1875	59.8	4782	4659
Rhodococcus fascians	5.24988	64.7	4921	4805
Clostridium carboxidivorans P7	5.75278	29.8917	5189	5026
Burkholderia cepacia	8.84358	66.1	7739	7517
Burkholderia lata	7.11989	66.8	6370	6197
Burkholderia lata	8.67269	66.5	7712	7494
Lactobacillus mucosae LM1	2.36967	46.2	2206	2064
Streptococcus pyogenes M1 GAS	1.85243	38.5	1801	1693
Bacillus mycoides	6.0968	35.3	6183	5867
Corynebacterium renale	2.32276	59.1	2218	1771
Rickettsia rickettsii str. Iowa	1.2682	32.4	1347	1220
Paenibacillus polymyxa E681	5.39488	45.8	4796	4528
Methylophaga nitratireducenticrescens	3.13719	44.7	2997	2892
Lactobacillus farciminis	2.46532	35.6845	2371	2217
Melissococcus plutonius	2.02134	31.1	1755	1558
Melissococcus plutonius	2.06686	31.1	1813	1615
Melissococcus plutonius	2.07732	31.1	1818	1612
Melissococcus plutonius	2.04585	31.1	1795	1585
Melissococcus plutonius	2.03983	31.1	1768	1581
Melissococcus plutonius	2.07551	31.1	1815	1609
Melissococcus plutonius	2.07252	31.1	1793	1610
Melissococcus plutonius	2.05895	31.1	1785	1595
Melissococcus plutonius	2.0476	31.1	1763	1586
Staphylococcus haemolyticus	2.47396	32.7	2385	2305
Providencia rettgeri	4.76794	40.3	4455	4294
Melissococcus plutonius	2.07593	31.1047	1799	1612
Melissococcus plutonius	2.10114	31.1488	1849	1659
Proteus vulgaris	3.87244	38.1	3629	3488
Proteus vulgaris	4.28473	37.8	4160	4010
Raoultella ornithinolytica B6	5.62286	55.7	5225	5076
Serratia marcescens	5.25014	59.5	4958	4796
Serratia marcescens	5.12689	59.9	4689	4574
Serratia marcescens	5.11755	59.3	4706	4626
Serratia marcescens	5.11393	59.3	4713	4620
Serratia marcescens	5.15279	59.6	4745	4642
Serratia marcescens	5.12624	59.9	4670	4576
Serratia marcescens	5.13737	59.9	4713	4575
Serratia marcescens	5.16346	59.6	4746	4660
Serratia marcescens	5.15999	59.9	4694	4609
Serratia marcescens	5.1636	59.6	4765	4681
Serratia marcescens	5.11343	59.8	4760	4671
Serratia marcescens	5.12046	59.8	4770	4679
Serratia marcescens	5.20281	59.5	4817	4690
Serratia marcescens	5.20639	59.5	4827	4711
Serratia marcescens	5.12282	59.8	4771	4678
Serratia marcescens	5.11548	59.8	4744	4662
Serratia marcescens	5.0954	59.8	4715	4641
Serratia marcescens	5.19632	59.5	4781	4707
Serratia marcescens	5.18509	59.5	4817	4672
Serratia marcescens	5.19954	59.5	4783	4705
Serratia marcescens	5.19847	59.5	4802	4700
Serratia marcescens	5.20961	59.5	4836	4719
Serratia marcescens	5.91829	58.7	5649	5356
Serratia marcescens	5.09923	59.7	4743	4680
Serratia marcescens	5.46378	59	5067	4919
Serratia marcescens	5.47264	59	5062	4952
Serratia marcescens	5.18474	60.1	4805	4568
Serratia marcescens	5.21305	60	4754	4652
Serratia marcescens	5.1062	60.2	4628	4559
Serratia marcescens	5.68713	59.3	5324	5173
Serratia marcescens	4.92062	59.6	4564	4463
Serratia marcescens	5.11366	59.8	4734	4666
Staphylococcus haemolyticus	2.2798	31.3	2207	2154
Staphylococcus haemolyticus	2.26795	31.3	2190	2145
Staphylococcus haemolyticus	2.58705	32.7	2517	2439
Staphylococcus haemolyticus	2.59602	32.8	2517	2437
Staphylococcus haemolyticus	2.27844	31.3	2186	2143
Staphylococcus haemolyticus	2.2228	31.4	2135	2093
Staphylococcus haemolyticus	2.18464	31.3	2122	2066
Staphylococcus haemolyticus	2.42358	32.6	2328	2259
Staphylococcus haemolyticus	2.48427	32.7	2381	2317
Staphylococcus haemolyticus	2.52506	32.7	2436	2345
Staphylococcus haemolyticus	2.27204	31.3	2190	2138
Staphylococcus haemolyticus	2.26069	31.3	2174	2124
Staphylococcus haemolyticus	2.24527	31.4	2164	2100
Staphylococcus haemolyticus	2.54034	32.8	2396	2332
Staphylococcus haemolyticus	2.20323	31.4	2126	2087
Staphylococcus haemolyticus	2.18671	31.4	2095	2055
Staphylococcus haemolyticus	2.16179	31.4	2049	2013
Staphylococcus haemolyticus	2.51776	31.9	2339	2300
Staphylococcus haemolyticus	2.58985	31.8	2410	2362
Staphylococcus haemolyticus	2.5035	38.9	2319	2261
Staphylococcus haemolyticus	2.45732	39.1	2269	2190
Staphylococcus haemolyticus	2.18734	31.4	2102	2044
Staphylococcus saprophyticus	2.6294	33	2541	2416
Staphylococcus saprophyticus	2.41958	33.1	2343	2288
Lactobacillus paracasei	2.85609	46.5	2768	2610
Lactobacillus paracasei	2.79277	46.4	2706	2535
Lactobacillus paracasei	3.16059	46.2	2999	2871
Lactobacillus paracasei	3.18181	46.1	3076	2923
Staphylococcus warneri	2.59358	33.5	2458	2410
Staphylococcus warneri	2.50904	32.7	2362	2289
Staphylococcus warneri	2.46616	32.6	2342	2284
Staphylococcus warneri	2.31762	32.6	2254	2139
Mycoplasma hominis	0.695863	26.9	614	555
Mycoplasma hominis	0.710202	27.2	621	560
Morganella morganii	3.83813	51	3581	3482
Morganella morganii	3.9725	51	3773	3658
Propionibacterium acidipropionici	2.59837	68.8	2139	2029
Staphylococcus pasteuri	2.00265	30.6	1759	1693
Trueperella pyogenes	1.924	55.8	1677	1608
Piscirickettsia salmonis LF-89 = ATCC VR-1361	3.45006	39.658	3107	2923
Yersinia enterocolitica	4.54338	47.2	4153	3990
Yersinia enterocolitica	4.65496	47.1	4261	4132
Yersinia enterocolitica	4.55129	46.9	4162	3983
Yersinia enterocolitica	4.45846	46.9	4069	3884
Yersinia enterocolitica	4.59266	47.1	4174	4017
Yersinia enterocolitica	4.75235	47.2	4391	4259
Yersinia enterocolitica	4.59798	47	4221	4030
Yersinia enterocolitica	4.44152	47	4016	3819
Yersinia enterocolitica	4.51535	46.8	4116	3951
Yersinia enterocolitica	4.46995	46.9	4051	3870
Yersinia enterocolitica	4.55439	46.8	4156	3989
Yersinia enterocolitica	4.5626	47	4177	3991
Yersinia enterocolitica	4.45145	46.9	4053	3880
Yersinia enterocolitica	4.75154	47.1	4361	4242
Yersinia enterocolitica	4.38497	47.2	3956	3797
Yersinia enterocolitica	4.55179	47.3	4178	3993
Yersinia enterocolitica	4.64321	46.8	4273	3903
Yersinia enterocolitica	4.74415	49.3	4290	4149
Yersinia enterocolitica	4.40911	47	4002	3823
Yersinia enterocolitica	4.43208	46.9	4042	3855
Yersinia enterocolitica	4.52115	46.8	4112	3947
Yersinia enterocolitica	4.44117	46.9	4013	3857
Yersinia enterocolitica	4.50067	46.9	4100	3903
Yersinia enterocolitica	4.46669	46.9	4109	3905
Yersinia enterocolitica	4.79489	47.4	4425	4274
Yersinia enterocolitica	4.386	47	3978	3800
Yersinia enterocolitica	4.65721	47.2	4249	4113
Yersinia enterocolitica	4.40809	47.1	4027	3798
Yersinia enterocolitica	4.56322	46.9	4178	4003
Yersinia enterocolitica	4.51003	47	4105	3929
Yersinia enterocolitica	4.74584	47.1	4345	4225
Yersinia enterocolitica	4.45183	46.9	4057	3875
Yersinia enterocolitica	4.72267	46.8	4440	4058
Yersinia enterocolitica	4.52258	46.9	4126	3954
Yersinia enterocolitica	4.44944	47.3	4055	3891
Yersinia enterocolitica	4.59463	46.8	4260	3887
Yersinia enterocolitica	4.66872	47.1	4281	4167
Fusobacterium gonidiaformans ATCC 25563	1.69833	32.4	1696	1586
Sphingobium yanoikuyae	5.49984	64.3	5229	5044
Geobacillus stearothermophilus	2.97096	52.2	3095	2693
Geobacillus stearothermophilus	3.01193	52	3074	2679
Geobacillus stearothermophilus	3.02265	52	3104	2698
Yersinia enterocolitica	4.38811	47.2	3964	3811
Yersinia enterocolitica	4.45266	46.9	4068	3893
Yersinia enterocolitica	4.46819	47.1	4051	3868
Yersinia enterocolitica	4.45594	46.9	4031	3867
